"Year" "rain" "temp" "u2" "Eto"
"1" 1961 929.875598518361 22.2874248749146 4.64180675138731 3.26730585397145
"2" 1962 736.918198146548 22.2269617973432 4.55407031055351 3.24683701287618
"3" 1963 858.962049060829 22.2055612539402 4.53147560623455 3.27929026707458
"4" 1964 1015.24992755053 22.1903100862792 4.57297276052188 3.33051510096163
"5" 1965 986.237999989237 22.1547280408207 4.55119638676726 3.37153427755505
"6" 1966 1025.14788335372 22.124542194896 4.50180249689553 3.38616441762019
"7" 1967 1131.79215365822 22.0732826852771 4.46611803200907 3.38705588642413
"8" 1968 1088.72382412099 22.2420806176244 4.49228811708462 3.36714536861759
"9" 1969 1023.12491602875 22.2227749191773 4.53149650760253 3.37292668728225
"10" 1970 1096.98836591401 21.9112679032451 4.49289490755894 3.40636859482962
"11" 1971 1134.03851751106 21.8981555173311 4.46335612236513 3.38267548922005
"12" 1972 921.513375124313 22.6540481338917 4.59681737428001 3.26697760162178
"13" 1973 926.323279178798 23.0311626820775 4.62027796349931 3.24443889917876
"14" 1974 1225.84169635268 22.4094329478954 4.47053592224302 3.3661385907085
"15" 1975 1124.33089448316 22.1757178635297 4.42900246381818 3.36901561109552
"16" 1976 1007.73572183416 22.581427808719 4.52790655108204 3.31051627658829
"17" 1977 984.865528453716 22.6728092278759 4.52471087519831 3.34733803037452
"18" 1978 999.219277080839 22.2126718513281 4.42882747203229 3.40990094792926
"19" 1979 1117.93383763683 22.2049691759632 4.4131737112939 3.4226814679609
"20" 1980 947.903881370819 22.5778396451335 4.49227615597875 3.38851586667522
"21" 1981 750.640252518314 23.0510308081367 4.62721368176699 3.25238765024365
"22" 1982 813.546495524702 23.1247260930282 4.56687203159281 3.2463805711518
"23" 1983 945.882620080506 22.6344253010688 4.45987109964298 3.36566685521167
"24" 1984 822.291739140735 22.7586177590178 4.4678848011594 3.32333483185851
"25" 1985 857.004512162736 22.8981356122206 4.4785844518704 3.30784713387309
"26" 1986 1013.24594622248 22.5583526047534 4.45879728967504 3.36465109137088
"27" 1987 913.106120788719 22.4112120659299 4.44223668360114 3.35440048592009
"28" 1988 815.577247342526 22.7106053931167 4.51187804047563 3.31383433536271
"29" 1989 770.95633869469 23.1729874454747 4.59641520595782 3.23001071429507
"30" 1990 722.989805024089 23.1052211836406 4.57436595731056 3.18496322474857
"31" 1991 842.417464361171 22.7076450846123 4.51967562368109 3.24234943256774
"32" 1992 755.216943493524 22.6164285607494 4.59613072352932 3.22416422476724
"33" 1993 594.08020789463 22.7259243432175 4.58690639249807 3.15565593315735
"34" 1994 761.307230085074 22.7027507571848 4.48493474853348 3.22631647183289
"35" 1995 988.89726193487 22.7921910560276 4.49200404673751 3.34695776105484
"36" 1996 870.479508833099 23.3555435603098 4.50785368838975 3.30826253537527
"37" 1997 929.040438836558 23.0256238601502 4.45294289587893 3.32830678849416
"38" 1998 1120.98898603928 22.4950022771272 4.4260825185854 3.3963696407499
"39" 1999 1114.9645560084 22.5475473484927 4.46098419107019 3.40522788275498
"40" 2000 1121.40190929146 22.6277406939933 4.52031810053574 3.41455602422848
"41" 2001 1049.47028677656 22.7569818293284 4.52286181436705 3.3948938335723
"42" 2002 902.510196868368 23.1522496758625 4.52370544617743 3.29667342020272
"43" 2003 922.963239242492 23.347287285255 4.51899974936926 3.2678824096141
"44" 2004 935.158274784917 23.3418464016194 4.53147755966281 3.27693196855821
"45" 2005 771.948862486928 23.595072543135 4.58461598280606 3.21936551143125
