"Year" "rain" "temp" "u2" "Eto"
"1" 1961 868.061503287212 21.1794458359093 3.9528446721637 3.69123769249141
"2" 1962 745.252330038031 21.4913964297612 4.02147984405897 3.68977405133219
"3" 1963 712.01697600005 21.7091822711149 4.08203676812216 3.63024581108732
"4" 1964 710.966437981921 21.547877450895 4.04595803408363 3.53039040809887
"5" 1965 688.091020209876 21.5159137749555 3.91974829106496 3.32934426672645
"6" 1966 601.976099022685 21.7526398223365 3.93750052690087 3.27409968374285
"7" 1967 569.536569771788 22.3392972753754 4.05631088174758 3.23563805020243
"8" 1968 601.571669523937 22.7311104306268 4.16381706020639 3.055347573845
"9" 1969 626.209444954128 22.5823484235229 4.0944910025442 2.94531375782674
"10" 1970 619.114920851094 22.3467067838686 4.01552931687589 2.99866670344336
"11" 1971 608.270417883371 22.072311606685 4.07309360481653 3.08611726427661
"12" 1972 588.727614218887 22.4888828276369 4.1518529692915 3.01590735900052
"13" 1973 554.795518144112 22.7248824507987 4.19705330583531 2.95693217703466
"14" 1974 588.113047231056 22.5444947453084 4.08476562408927 3.00669551376071
"15" 1975 534.992649276149 22.706698072652 4.08666175141031 3.06999012852286
"16" 1976 512.489954441372 22.8260427771222 4.10694739453217 3.11289044757683
"17" 1977 467.555293114538 23.0722767736392 4.14183788584129 3.09080465725388
"18" 1978 401.581799519745 23.2031414424604 4.19555322849018 2.93369421021528
"19" 1979 636.735417884716 22.6523515668666 4.11099082771755 3.06904579432557
"20" 1980 918.353605161154 22.1972102287888 4.06868425469207 3.32024179787208
"21" 1981 898.157436719873 21.9655749967616 4.06455803591055 3.41415955004674
"22" 1982 926.709191745356 21.3656978354852 3.8806908174869 3.58891009185058
"23" 1983 997.113905014405 21.6757875043772 3.81478223837484 3.64876976668382
"24" 1984 884.045169588591 22.1205244869994 3.9423084721673 3.59034108868117
"25" 1985 810.007770962329 21.8892882395535 4.05147535160303 3.45230367965106
"26" 1986 760.264355142736 22.2760896747385 4.08540939521675 3.40906661251212
"27" 1987 836.360141140128 22.5909289925607 4.00324044232292 3.52005615713672
"28" 1988 883.441466718963 22.334320949536 3.96802485725101 3.6585174710163
"29" 1989 931.350171863811 22.386890697999 4.00083133485663 3.57882514792739
"30" 1990 998.958709996016 22.061803811084 3.94588413590046 3.46133353407169
"31" 1991 891.035408446604 21.5050789486277 3.91337016167063 3.54662876513124
"32" 1992 850.778189652332 21.7654399006731 4.00147905233604 3.63217833730177
"33" 1993 859.137376421389 22.2384272863043 3.91415191508094 3.51826176889131
"34" 1994 816.417678922203 22.4643766228046 3.9027525553328 3.41317376693969
"35" 1995 796.567090850489 22.5890233314896 4.01621227297178 3.49535276317756
"36" 1996 712.224562824964 22.4906001399714 4.02148161878446 3.5349842151506
"37" 1997 751.974567184526 22.4474677571953 3.93542315371092 3.57811886343704
"38" 1998 780.490435157215 22.4519563203929 3.90891256003475 3.62447808861927
"39" 1999 723.898560837138 22.7844557294629 3.93747297732416 3.48775783813109
"40" 2000 842.574551565855 22.8510615517023 3.9770933897033 3.42651848964709
"41" 2001 724.674268098816 22.6870074204302 4.12928986951257 3.44589781447942
"42" 2002 609.984289057495 22.9962894418298 4.20467748425985 3.07496118192553
"43" 2003 709.606460452363 22.9941921338398 4.11778692200189 2.94644010756176
"44" 2004 670.376118317736 22.2562643392229 4.02323223729107 3.33245629711652
"45" 2005 649.065595031552 21.7072191291339 4.00075609654575 3.54024277008683
