"date" "rain" "flow" "temp_medio" "u2" "Eto"
"1" "jan/80" 277.93 18620 24.2780163708842 1.55212346672804 123.321026714195
"2" "fev/80" 265 28947 23.8585879061359 1.56967648871391 104.146843339916
"3" "mar/80" 40.45 32211 24.0890723840098 1.6662761317432 138.969524935937
"4" "abr/80" 68.28 14114 23.931457238857 1.71607760530962 116.829217535929
"5" "mai/80" 9.42 10869 23.2151178519753 1.7960536352885 116.446296322933
"6" "jun/80" 23.9 7105 22.0396455049904 1.78583481874614 100.123346418982
"7" "jul/80" 11.08 6561 21.5585821133714 1.7741938936797 114.349637458722
"8" "ago/80" 9.46 5577 22.6602733762296 2.11278849405067 139.71625793386
"9" "set/80" 22.88 4940 24.4668890097884 2.04880742134879 142.899540675498
"10" "out/80" 31.18 5208 25.4866904041225 2.17576815312164 173.440004721354
"11" "nov/80" 159.6 6646 24.7816308336082 1.77210421311335 130.569951598353
"12" "dez/80" 206.98 13495 24.4935790982972 1.61996054505374 129.529042396747
"13" "jan/81" 174.75 17428 24.5834005962134 1.53408084055921 136.981869431728
"14" "fev/81" 30.52 15417 25.1816587932378 1.92838011701022 152.836201549416
"15" "mar/81" 307.39 13611 25.0031107558166 1.30008510598699 119.277781426487
"16" "abr/81" 61.3 17845 23.2198039488512 1.51239846438426 116.00724439316
"17" "mai/81" 18.9 8597 22.2457080313826 1.72925095273458 111.505466999163
"18" "jun/81" 27.28 6053 21.2751485610581 1.72139234322244 102.801981024479
"19" "jul/81" 8.47 4912 20.5267370333996 2.05176472953417 119.802164723196
"20" "ago/81" 13.68 4422 22.3163091435213 2.01922536541499 142.853301008402
"21" "set/81" 7.66 4088 24.1472438581715 2.10204984414419 160.003657551718
"22" "out/81" 132.85 5394 24.9779691309215 1.80535278611836 146.085479849101
"23" "nov/81" 181 12492 24.8178825415803 1.59931161019817 131.224518240338
"24" "dez/81" 120.41 18497 25.3220403968651 1.69653219324015 150.041525922471
"25" "jan/82" 232.15 20706 24.335644256958 1.48295507748055 125.059543577578
"26" "fev/82" 50.78 23499 25.1933072366273 1.69371133987023 139.415649861797
"27" "mar/82" 176.06 22688 25.1225142498829 1.20943251440555 124.057135441773
"28" "abr/82" 77.48 20967 23.644197925501 1.50981875277519 115.572746349752
"29" "mai/82" 31.84 12435 22.5919256022359 1.75042583736758 113.852844933389
"30" "jun/82" 13.22 8094 22.6706764502057 1.66657851481831 108.321772958051
"31" "jul/82" 12.02 6354 22.1233034745358 1.81033530756019 120.00758168703
"32" "ago/82" 17.27 5325 23.4944805807941 1.94628359792001 138.104310776146
"33" "set/82" 22.58 4872 24.6629698457034 1.96101522253818 149.179002688524
"34" "out/82" 43.83 5063 25.8198291286948 1.69098514348819 164.703137466325
"35" "nov/82" 41.6 5097 26.8043156725091 1.70843607505582 171.618793926608
"36" "dez/82" 130.05 5813 25.994595925907 1.6730612225483 148.108519345382
"37" "jan/83" 260.28 15127 24.9249446476448 1.40342109919488 120.269772745074
"38" "fev/83" 208.25 23459 24.6852431157366 1.56560894993829 118.775629534828
"39" "mar/83" 160.09 28460 24.8813408464475 1.41788718336862 122.465539840186
"40" "abr/83" 72.05 21670 24.6661277474793 1.45358342438855 124.871212347572
"41" "mai/83" 15.74 14276 24.320766613496 1.52823228942487 122.068142407097
"42" "jun/83" 10.89 8394 23.1530783497848 1.52737314258301 109.964776745984
"43" "jul/83" 14.35 6448 22.8833313867707 1.68949882598521 119.407432399865
