"Year" "rain" "temp" "u2" "Eto"
"1" 1961 1407.40510332605 20.3149178074144 4.36891530267027 3.85889218934353
"2" 1962 1449.78386633164 19.7235822996361 4.36116257361254 3.74035870998349
"3" 1963 1547.17259188387 19.8135505927766 4.42042629633942 3.67230872897706
"4" 1964 1415.54032014532 20.352439611011 4.45520854560907 3.66495629116224
"5" 1965 1105.0907482663 21.0445437620461 4.53463025109992 3.68511570498074
"6" 1966 1120.17413906355 20.7608858292383 4.45007996192195 3.69224018637237
"7" 1967 1236.18375074593 19.9246396966465 4.3398776920788 3.73088332952004
"8" 1968 1175.25324996178 19.7905193687407 4.36952792448507 3.72316647587722
"9" 1969 1275.80024293171 20.0576665668427 4.37828411182836 3.66085480777352
"10" 1970 1523.57884557059 20.2416233875719 4.41964932595456 3.68812458501869
"11" 1971 1439.99004559208 20.2294768944998 4.38234725446203 3.6938317590687
"12" 1972 1302.68203504738 20.0896360331513 4.36304677484166 3.70581479036016
"13" 1973 1210.15545514687 20.0526939229588 4.40608206570292 3.74449853697566
"14" 1974 1283.66197067566 20.6175428092905 4.44872431293376 3.68641359904124
"15" 1975 1407.53745372931 21.1915991801328 4.46805487316384 3.72962736133723
"16" 1976 1461.38509708871 20.6323680565844 4.41217828026352 3.82099957122189
"17" 1977 1292.61242663759 19.9202373628324 4.33037749600738 3.74841837760962
"18" 1978 1135.11782361596 20.0528821832221 4.337814431619 3.68017601334126
"19" 1979 1203.25392681912 20.3658767456706 4.37035667590344 3.66503599391328
"20" 1980 1140.3231482795 20.404185758441 4.40763245910296 3.69984981635692
"21" 1981 1266.13320600457 20.332274829119 4.41094822314424 3.77426924588887
"22" 1982 1400.87145105179 20.1561273524763 4.37646852626342 3.7781487624579
"23" 1983 1338.33445281103 20.0420770596497 4.33728116972135 3.749193256608
"24" 1984 1314.14023847331 20.262377690276 4.33262083271064 3.72934234548745
"25" 1985 1343.16243481224 20.6364330185924 4.39692002039749 3.75943010625089
"26" 1986 1268.67835458971 20.7843999441106 4.44173174756357 3.74534666176088
"27" 1987 1129.08427987637 20.4329368558048 4.3902444758438 3.72293520277932
"28" 1988 1151.65689403879 20.1576384566426 4.30348224982611 3.75325120142583
"29" 1989 1176.27474177227 20.2828152889747 4.35779161874417 3.76724203970991
"30" 1990 1153.46374886079 20.4903016540122 4.37444804764314 3.76072608970615
"31" 1991 1132.73521697129 20.6604745470216 4.35995957689437 3.71531070360234
"32" 1992 1280.36209856458 20.950156699768 4.41841126573553 3.71453910400664
"33" 1993 1386.71421293791 20.83412902212 4.38418525547008 3.750555096978
"34" 1994 1256.74563520555 20.2644802188273 4.31294754199341 3.71763279307427
"35" 1995 1299.07249972409 20.1536237535421 4.32886640406714 3.69155027609223
"36" 1996 1179.61677801791 20.3635186948513 4.36268675576771 3.693610229718
"37" 1997 1126.01198886573 20.5996488804934 4.35436413153372 3.68384933938381
"38" 1998 1213.48083294953 20.6896195382578 4.39674709040173 3.68654673039938
"39" 1999 1091.6532921476 20.5832716326944 4.38202159361906 3.60903938386
"40" 2000 989.732577754052 20.4293750413069 4.28154508247578 3.51702156125852
"41" 2001 975.654340717518 20.4225153350296 4.29282334541826 3.48748924859376
"42" 2002 1091.58725787389 20.5981496676895 4.31571014712367 3.51318124043061
"43" 2003 1155.67788899757 20.9717486284578 4.32866603593718 3.53218651593637
"44" 2004 1207.79044951927 21.1556066763624 4.3095140485623 3.57528404091457
"45" 2005 1281.13189980621 21.0555376961262 4.25011841960328 3.62586421398719
